Source:,/Users/naomi_12/module_pcb_thermal_mockup/control-board/control-board_v1/control-board_v1.kicad_sch,,,,,,,,,
Date:,"2024 May 24, Friday 16:12:41",,,,,,,,,
Tool:,Eeschema 7.0.7,,,,,,,,,
Generator:,/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py,,,,,,,,,
Component Count:,77,,,,,,,,,
,,,,,,,,,,
Collated Components:,,,,,,,,,,
,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,DNP,LCSC,Mfg,PartNum
1,1,C1,47uF,Device:C_Polarized,Capacitor_Tantalum_SMD:CP_EIA-7343-43_Kemet-X_Pad2.25x2.55mm_HandSolder,https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/T491X476K035AT,,,Kemet,T491X476K035AT
2,4,"C2, C3, C5, C7",0.1uF,Device:C,Capacitor_SMD:C_0805_2012Metric,~,,C314282,,
3,4,"D1, D2, D3, D4",BLUE LED,Device:LED,LED_SMD:LED_0603_1608Metric,~,,,,150060BS75000
4,4,"D5, D6, D7, D8",WHITE LED,Device:LED,LED_SMD:LED_0603_1608Metric,~,,,,LW Q38E-Q1OO-3K6L-1-5-R18
5,4,"D9, D10, D11, D12",RED LED,Device:LED,LED_SMD:LED_0603_1608Metric,~,,,,150060RS75000
6,4,"D13, D14, D15, D16",YELLOW LED,Device:LED,LED_SMD:LED_0603_1608Metric,~,,,,150060YS75000
7,1,D17,GREEN LED,Device:LED,LED_SMD:LED_0603_1608Metric,~,,,,150060VS75000
8,1,D18,ORANGE LED,Device:LED,LED_SMD:LED_0603_1608Metric,~,,,,LO Q976-PS-25-0-20-R18
9,1,F1,Bell_Fuse,Device:Polyfuse,Fuse:Fuse_2920_7451Metric,https://www.belfuse.com/resources/datasheets/circuitprotection/ds-cp-0zcf-series.pdf,,,,0ZCF0400FF2A
10,1,J1,Barrel_Jack,Connector:Barrel_Jack,Connector_BarrelJack:BarrelJack_CUI_PJ-063AH_Horizontal,https://www.cuidevices.com/product/resource/pj-063ah.pdf,,,,PJ-063AH
11,4,"J2, J3, J4, J5",Header-M_2x6,Connector_Generic:Conn_02x06_Counter_Clockwise,Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical_SMD,~,,,,5-146130-5
