Time,CO2_Temperature_Outlet,CO2_Temperature_Inlet,
2025/04/28 10:28:18.000,-35.149997711182,,
2025/04/28 10:28:23.000,-35.259998321533,,
2025/04/28 10:28:34.000,-35.149997711182,,
2025/04/28 10:28:46.000,-35.259998321533,,
2025/04/28 10:30:45.000,-35.369998931885,,
2025/04/28 10:30:51.000,-35.259998321533,,
2025/04/28 10:31:01.000,-35.369998931885,,
2025/04/28 10:31:07.000,-35.259998321533,,
2025/04/28 10:32:14.000,-35.369998931885,,
2025/04/28 10:32:19.000,-35.259998321533,,
2025/04/28 10:32:30.000,-35.369998931885,,
2025/04/28 10:32:35.000,,-34.04999923706,
2025/04/28 10:32:47.000,-35.259998321533,,
2025/04/28 10:32:53.000,-35.369998931885,,
2025/04/28 10:34:00.000,-35.259998321533,,
2025/04/28 10:34:06.000,-35.369998931885,,
2025/04/28 10:34:17.000,-35.259998321533,,
2025/04/28 10:34:22.000,-35.149997711182,-33.939998626709,
2025/04/28 10:34:28.000,-35.259998321533,,
2025/04/28 10:35:20.000,-35.369998931885,,
2025/04/28 10:35:26.000,-35.259998321533,,
2025/04/28 10:35:32.000,-35.369998931885,-34.04999923706,
2025/04/28 10:35:49.000,,-33.939998626709,
2025/04/28 10:35:55.000,,-34.04999923706,
2025/04/28 10:36:11.000,-35.259998321533,,
2025/04/28 10:36:17.000,-35.369998931885,,
2025/04/28 10:37:07.000,-35.259998321533,,
2025/04/28 10:37:13.000,-35.369998931885,,
2025/04/28 10:37:18.000,-35.259998321533,-33.939998626709,
2025/04/28 10:37:23.000,,-34.04999923706,
2025/04/28 10:37:28.000,-35.369998931885,,
2025/04/28 10:37:34.000,-35.259998321533,,
2025/04/28 10:37:39.000,-35.369998931885,,
2025/04/28 10:37:45.000,-35.259998321533,-33.939998626709,
2025/04/28 10:38:18.000,-35.369998931885,,
2025/04/28 10:38:29.000,,-34.04999923706,
2025/04/28 10:38:35.000,,-33.939998626709,
2025/04/28 10:38:40.000,-35.259998321533,,
2025/04/28 10:38:46.000,-35.369998931885,,
2025/04/28 10:38:51.000,,-34.04999923706,
2025/04/28 10:39:07.000,-35.259998321533,,
2025/04/28 10:39:13.000,-35.369998931885,,
2025/04/28 10:39:59.000,-35.259998321533,,
2025/04/28 10:40:04.000,-35.369998931885,,
2025/04/28 10:40:15.000,-35.259998321533,,
2025/04/28 10:40:21.000,,-33.939998626709,
2025/04/28 10:40:26.000,-35.369998931885,-34.04999923706,
2025/04/28 10:40:32.000,-35.259998321533,,
2025/04/28 10:40:38.000,,-33.939998626709,
2025/04/28 10:41:04.000,-35.369998931885,,
2025/04/28 10:41:15.000,-35.259998321533,,
2025/04/28 10:41:21.000,-35.369998931885,,
2025/04/28 10:41:33.000,,-34.04999923706,
2025/04/28 10:42:17.000,-35.259998321533,,
2025/04/28 10:42:23.000,,-33.939998626709,
2025/04/28 10:42:29.000,-35.369998931885,,
2025/04/28 10:42:35.000,-35.259998321533,,
2025/04/28 10:43:10.000,-35.369998931885,,
2025/04/28 10:43:15.000,-35.259998321533,,
2025/04/28 10:43:32.000,-35.149997711182,,
2025/04/28 10:43:38.000,-35.259998321533,,
2025/04/28 10:43:49.000,-35.149997711182,,
2025/04/28 10:43:55.000,-35.259998321533,,
2025/04/28 10:44:06.000,-35.149997711182,,
2025/04/28 10:44:11.000,-35.259998321533,,
2025/04/28 10:44:22.000,-35.149997711182,,
2025/04/28 10:44:27.000,-35.259998321533,,
2025/04/28 10:45:06.000,-35.369998931885,,
2025/04/28 10:45:11.000,-35.259998321533,,
2025/04/28 10:45:39.000,-35.369998931885,,
2025/04/28 10:45:45.000,-35.259998321533,,
