"#","Qty","Reference","Value","Datasheet","Link to Buy","Qty to Buy","Price for total Qty"
"1","4","U1,U2,U3,U4","ETROC_bumpbond_dummy","","","",""
"2","1","U5","AD77x8","https://www.analog.com/media/en/technical-documentation/data-sheets/AD7708_7718.pdf","","",""
"3","8","R5,R6,R7,R8,R9,R10,R11,R12","1k","https://www.digikey.com/en/products/detail/vishay-dale/TNPU08051K00AWEN00/11618132","","",""
"4","3","U7,U8,U9","TMP121","https://www.ti.com/lit/ds/symlink/tmp121.pdf?ts=1710966626381&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FTMP121","","",""
"5","4","C2,C6,C7,C8","0.1uF","~","","",""
"6","1","C3","10uF","~","","",""
"7","2","C4,C5","33pF","~","","",""
"8","45","E1,E2,E3,E4,L1,L2,L3,L4,T1:1,T1:2,T1:3,T1:4,T1:5,T1:6,T1:7,T1:8,T1:9,T2:1,T2:2,T2:3,T2:4,T2:5,T2:6,T2:7,T2:8,T2:9,T3:1,T3:2,T3:3,T3:4,T3:5,T3:6,T3:7,T3:8,T3:9,T4:1,T4:2,T4:3,T4:4,T4:5,T4:6,T4:7,T4:8,T4:9,VCC1","TestPoint","~","","",""
"9","1","J1","Conn_02x06_Counter_Clockwise","~","","",""
"10","2","R1,R2","12.6","~","","",""
"11","2","R3,R4","40k","~","","",""
"12","1","R14","1M","~","","",""
"13","1","Y1","32kHz","~","","",""
